(1, 3, 1, 1, 63, 77, 8, 84, 2, 36, 96, 87, 17)
(1, 3, 1, 0, 99, 29, 94, 35, 2, 43, 59, 45, 68)
(0, 2, 0, 1, 29, 57, 63, 101, 3, 0, 22, 8, 13)
(1, 3, 1, 0, 98, 16, 36, 9, 1, 12, 77, 42, 25)
(1, 3, 1, 0, 102, 99, 74, 100, 1, 42, 92, 16, 34)
(0, 0, 0, 1, 27, 87, 15, 50, 1, 8, 20, 100, 59)
(1, 3, 0, 0, 45, 72, 66, 85, 0, 26, 65, 11, 29)
(1, 0, 0, 0, 8, 97, 38, 0, 4, 67, 23, 22, 22)
(0, 3, 0, 0, 86, 44, 39, 33, 4, 89, 85, 16, 3)
(1, 2, 1, 0, 8, 84, 23, 86, 1, 48, 69, 20, 73)
(1, 2, 1, 0, 95, 9, 77, 91, 1, 22, 7, 100, 52)
(1, 2, 1, 0, 44, 1, 44, 93, 1, 23, 56, 98, 74)
(0, 3, 1, 1, 56, 81, 72, 5, 1, 103, 81, 51, 90)
(1, 3, 1, 0, 35, 14, 65, 91, 1, 81, 5, 25, 83)
(0, 3, 0, 0, 16, 100, 36, 3, 3, 32, 87, 73, 41)
(1, 0, 1, 1, 92, 25, 86, 29, 4, 0, 52, 71, 81)
(0, 0, 1, 1, 89, 14, 28, 19, 4, 24, 15, 3, 68)
(0, 1, 1, 1, 8, 96, 14, 96, 3, 34, 99, 21, 38)
(0, 0, 0, 0, 59, 36, 97, 22, 2, 88, 43, 52, 54)
